Amount(in rupees),Status,Transaction,Furnishing,facing,overlooking,Ownership,price_clean,area_sqft,floor_num,bathroom_num,balcony_num,car_parking_num,location_grouped,price_per_sqft
62 Lac ,Ready to Move,Resale,Unfurnished,,,,6200000.0,650.0,5.0,1.0,0.0,0.0,thane,9538.461538461539
62 Lac ,Ready to Move,Resale,Unfurnished,,,,6200000.0,630.0,12.0,2.0,0.0,0.0,thane,9841.269841269841
1.08 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,10800000.0,640.0,16.0,2.0,1.0,1.0,thane,16875.0
95 Lac ,Ready to Move,Resale,Unfurnished,,,,9500000.0,600.0,10.0,2.0,2.0,0.0,thane,15833.333333333334
98 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,9800000.0,710.0,1.0,2.0,0.0,1.0,thane,13802.81690140845
23 Lac ,Ready to Move,Resale,Semi-Furnished,,,Co-operative Society,2300000.0,340.0,4.0,1.0,0.0,0.0,thane,6764.705882352941
98 Lac ,Ready to Move,Resale,Unfurnished,,Main Road,Co-operative Society,9800000.0,820.0,2.0,2.0,0.0,0.0,thane,11951.219512195123
68 Lac ,Ready to Move,New Property,Furnished,East,"Garden/Park, Pool",Freehold,6800000.0,679.0,7.0,2.0,1.0,1.0,thane,10014.727540500737
42 Lac ,Ready to Move,New Property,Unfurnished,,,Co-operative Society,4200000.0,441.0,5.0,2.0,0.0,0.0,thane,9523.809523809523
53 Lac ,Ready to Move,Resale,Furnished,East,Main Road,Freehold,5300000.0,475.0,5.0,1.0,1.0,0.0,thane,11157.894736842105
1.15 Cr ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,11500000.0,701.0,14.0,2.0,1.0,1.0,thane,16405.135520684737
55 Lac ,Ready to Move,Resale,Semi-Furnished,East,Main Road,Freehold,5500000.0,330.0,1.0,1.0,0.0,1.0,thane,16666.666666666668
74 Lac ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,7400000.0,838.0,4.0,3.0,1.0,1.0,thane,8830.54892601432
40 Lac ,Ready to Move,Resale,Unfurnished,,,,4000000.0,538.0,7.0,1.0,0.0,0.0,thane,7434.944237918216
1.20 Cr ,Ready to Move,Resale,Semi-Furnished,South - East,Garden/Park,Freehold,12000000.0,770.0,9.0,2.0,0.0,1.0,thane,15584.415584415585
